MACHINE MODEL,CONSUMABLE,ITEM CODE
C4070,TONER ,TONER BLACK
,,TONER YELLOW
,,TONER MAGENTA
,,TONER CYAN
,DRUM UNIT,DRUM UNIT BLACK DR620K
,,DRUM UNIT CMY DR620
,DEV,DEV BLACK BHC1060 (DV614K) /C71
,,DEV YELLOW BHC1060 (DV614Y) / C71
,,DEV MAGENTA BHC1060 (DV614M)
,,DEV CYAN BHC1060 (DV614C)
,Charging Pole Unit,Charging Pole Unit
,DEVELOPING DUST PROOF FILTER,DEVELOPING DUST PROOF FILTER/1
,,DEVELOPING DUST PROOF FILTER/2
,SUCTION DUST PROOF FILTER,SUCTION DUST PROOF FILTER
,FILTER BOX,FILTER BOX
,Waste toner box,Waste toner box
,Intermediate transfer belt,Intermediate transfer belt
,1st transfer roller,1st transfer roller/Y/M/C/K
,2nd transfer roller/Up ,2nd transfer roller/Up 
,,2nd transfer roller/Lw
,Separate discharging unit,Separate discharging unit
,Fusing belt,Fusing belt
,FUSING GEAR,FUSING GEAR/1 38T
,,FUSING GEAR/3 30T
,Heat insulating sleeve/Lw ,Heat insulating sleeve/Lw 
,Transfer belt cleaning blade,Transfer belt cleaning blade
,Toner collection sheet,Toner collection sheet
,SIDE SEAL ,SIDE SEAL C1060/C1070
,DOUBLE FEED PREVENTION RUBBER,DOUBLE FEED PREVENTION RUBBER
,,DOUBLE FEED PREVENTION RUBBER
C4065,Charging Pole Unit,Charging Pole Unit
,DEVELOPING DUST PROOF FILTER,DEVELOPING DUST PROOF FILTER/1
,,DEVELOPING DUST PROOF FILTER/2
,SUCTION DUST PROOF FILTER,SUCTION DUST PROOF FILTER
,FILTER BOX,FILTER BOX
,Waste toner box,Waste toner box
,Intermediate transfer belt,Intermediate transfer belt
,1st transfer roller,1st transfer roller/Y/M/C/K
,2nd transfer roller,2nd transfer roller/Up 
,,2nd transfer roller/Lw
,Separate discharging unit,Separate discharging unit
,Fusing belt,Fusing belt
,FUSING GEAR,FUSING GEAR/1 38T
,,FUSING GEAR/3 30T
,Heat insulating sleeve/Lw ,Heat insulating sleeve/Lw 
,Transfer belt cleaning blade,Transfer belt cleaning blade
,Toner collection sheet,Toner collection sheet
,SIDE SEAL ,SIDE SEAL C1060/C1070
,DOUBLE FEED PREVENTION RUBBER,DOUBLE FEED PREVENTION RUBBER
,,DOUBLE FEED PREVENTION RUBBER
"BH-C654/ BH-C654e / BH-C754 / 
BH-C754e",TONER,TONER BLACK BHC654/754 (TN711K)(A3VU150)
,,TONER MAGENTA BHC654/754 (TN711M)A3VU350
,,TONER CYAN BHC654/754 (TN711C)(A3VU450)
,,TONER YELLOW BHC654/754 (TN711Y)(A3VU250
,IMAGING UNIT,IMAGING UNIT YELLOW (IU711Y)
,,IMAGING UNIT MAGENTA (IU711M)
,,IMAGING UNIT CYAN (IU711C)
,DEVELOPING UNIT ,"DEVELOPING UNIT C754/V654, 654/754( DV711K)"
,DRUM UNIT ,DRUM UNIT (DR711K) BHC654/C754/654/754
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER ROLLER ,TRANSFER ROLLER UNIT
,TRANSFER BELT ,TRANSFER BELT UNIT
,FUSING UNIT,FUSING UNIT (FOR BH-C754e/BH-C654e)
,,FUSING UNIT (FOR BH-C754/BH-C654)
BH-C251i,TONER,TONER BLACK TN328K
,,TONER YELLOW TN328Y
,,TONER MAGENTA TN328M
,,TONER CYAN TN328C
,DEV,DEV UNIT BLACK DV315K
,,DEV YELLOW DV315Y
,,DEV MAGENTA DV315M
,,DEV CYAN DV315C
,DRUM UNIT,DRUM UNIT K DR316K
,,DRUM UNIT CMY DR316C
,,DRUM UNIT CMY DR316M
,,DRUM UNIT CMY DR316Y
BH-C301i,TONER,TONER BLACK TN328K
,,TONER YELLOW TN328Y
,,TONER MAGENTA TN328M
,,TONER CYAN TN328C
,DEV,DEV UNIT BLACK DV315K
,,DEV YELLOW DV315Y
,,DEV MAGENTA DV315M
,,DEV CYAN DV315C
,DRUM UNIT,DRUM UNIT K DR316K
,,DRUM UNIT CMY DR316C
,,DRUM UNIT CMY DR316M
,,DRUM UNIT CMY DR316Y
